"code","campaign","no2","lat","lon"
"198234","facade",37.2,51.195104258202,4.41339889005087
"198237","facade",25.7,50.89131,3.418428
"198240","facade",16.5,50.82895,4.827176000000001
"198273","facade",19.7,51.1308,3.949523
"198276","facade",21.5,50.715270000000004,4.233021
"198285","facade",28.7,50.84219,3.2058259999999996
"198303","facade",18.4,50.9247,5.423697
"198306","facade",36.3,51.155840000000005,4.433249
"198321","facade",30.9,50.86373,4.711571
"198336","facade",47.6,51.199729999999995,4.430671
"198339","facade",16.8,50.770790000000005,4.348904
"198342","facade",19.4,51.029309999999995,3.8611489999999997
"198345","facade",19.7,50.967220000000005,4.029591
"198369","facade",19.8,51.186690000000006,5.08261
"198381","facade",17.1,50.77919,3.409241
"198390","facade",20.3,50.90096,4.695816000000001
"198411","facade",15.6,51.21011,5.126663
"198417","facade",23.2,50.95622,3.4927900000000003
"198426","facade",23.9,50.790420000000005,4.285476
"198432","facade",17.4,50.99302,3.673863
"198438","facade",30.5,51.13358,4.389986
"198441","facade",30.2,51.21604,2.93877
"198444","facade",17.1,51.23207,5.438216000000001
"198447","facade",31.3,50.947759999999995,4.460275
"198450","facade",20.1,50.85995,3.126706
"198453","facade",16.5,51.124701306610206,2.99437965187881
"198459","facade",22.6,50.92048,5.328305
"198462","facade",17.1,51.23936,5.118649
"198468","facade",18.7,51.31963,4.9331760000000004
"198477","facade",19.9,51.04676,4.283972
"198480","facade",35.9,51.22034,4.424487999999999
"198483","facade",34.2,51.22638,4.515033
"198489","facade",22.8,51.05546,4.633007
"198495","facade",22.7,50.95952,5.4825919999999995
"198498","facade",18.8,50.9743,4.701773
"198516","facade",16.2,50.98364,5.120831
"198525","facade",22.0,50.99972,3.8826199999999997
"198540","facade",15.6,50.8196,5.148996
"198546","facade",25.5,51.22085,2.953777
"198552","facade",21.2,51.19287,3.740501
"198561","facade",18.0,50.909490000000005,4.668621
"198570","facade",19.1,50.812059999999995,2.96846
"198591","facade",17.8,50.83748,3.31642
"198594","facade",28.0,51.30581,3.1348759999999998
"198597","facade",22.6,50.81998,3.073034
"198603","facade",32.3,51.08611,4.359792
"198606","facade",24.1,51.31348,3.148299
"198609","facade",45.4,51.04681,3.9480809999999997
"198612","facade",21.8,51.29257,4.4953769999999995
"198615","facade",26.6,51.20816,3.207888
"198624","facade",24.6,50.91527,4.442792
"198627","facade",32.6,51.25134,4.447441
"198630","facade",36.5,51.223659999999995,4.432868
"198633","facade",17.2,50.85027,3.669539
"198657","facade",19.2,51.321290000000005,4.433777
"198666","facade",23.2,50.9058059117046,4.37969405493586
"198690","facade",20.0,51.18871,3.271199
"198693","facade",17.7,51.01513,5.607666
"198708","facade",26.5,50.8419,3.351211
"198711","facade",17.9,50.7667,5.032413
"198729","facade",15.4,50.7251001282427,3.9999371240115
"198738","facade",28.3,50.85523,3.814284
"198741","facade",28.9,51.04518,3.74106
"198744","facade",19.4,51.09118,5.05692
"198750","facade",24.4,51.14515,4.144826999999999
"198765","facade",18.1,51.01784,4.821034
"198768","facade",23.5,50.87982,4.4991699999999994
"198771","facade",18.4,50.80118,3.621585
"198777","facade",24.0,51.0727057142653,3.7738315155168096
"198780","facade",33.0,51.20216,4.467182
"198783","facade",41.7,50.89158,4.4713
"198798","facade",33.4,51.21929,4.31451
"198807","facade",21.0,51.214659999999995,3.43305
"198810","facade",23.6,51.22596,3.20662
"198822","facade",29.2,51.2263,4.467753
"198831","facade",39.6,51.32719,3.1949810000000003
"198840","facade",20.5,50.80393,3.0974049999999997
"198843","facade",14.3,50.8373,3.669839
"198846","facade",15.8,50.83634,3.655164
"198852","facade",18.3,50.998321650811995,3.95460184362875
"198861","facade",22.4,51.022,4.111025
"198873","facade",18.8,51.059779999999996,5.379926
"198876","facade",22.1,50.742090000000005,4.267711
"198885","facade",17.0,51.400890000000004,4.457565
"198897","facade",18.2,51.18233119836351,3.9607205470411597
